iteration,root,,
1,4.2,,-785.0071461
2,-4.84909,186.614,1121.780786
3,-2.5739,88.3948,642.3618794
4,-1.13751,126.274,339.6915426
5,-0.272732,317.082,157.4689926
6,0.202833,234.461,57.25984417
7,0.415355,51.1663,12.47806115
8,0.470574,11.7345,0.842535054
9,0.474552,0.838192,0.004306857
10,0.474572,0.00430796,9.25372E-05
,0.474572439,,0
